Step,Disturbance,Output
1,-1,-1.666666666666667
2,-2,-7.5
3,-2,-3.333333333333333
4,-1,-1.666666666666667
5,-3,-15.0
6,-2,-3.333333333333333
7,-2,-3.333333333333333
8,-2,-3.333333333333333
9,-3,-10.0
10,-2,-3.333333333333333
11,-2,-3.333333333333333
12,-3,-10.0
13,-3,-5.0
14,-3,-5.0
15,-2,-3.333333333333333
16,-3,-10.0
17,-3,-5.0
18,-11,-50.0
19,-1,-1.666666666666667
20,1,1.666666666666667
21,-2,-13.33333333333333
22,-5,-40.0
23,-6,-50.0
24,-9,-50.0
25,-11,60
26,-14,60
27,-13,60
28,-13,60
29,-13,60
30,-12,60
31,-11,-50.0
32,-9,-30.0
33,-8,-40.0
34,-8,-50.0
35,-9,-50.0
36,-11,60
37,-12,60
38,-12,60
39,-12,60
40,-11,60
41,-9,-50.0
42,-7,-30.0
43,-5,-23.75
44,-7,-50.0
45,-8,-50.0
46,-10,60
47,-13,60
48,-12,60
49,-11,60
50,-9,60
51,-8,-50.0
52,-7,-40.0
53,-6,-40.0
54,-9,-50.0
55,-12,60
56,-13,60
57,-14,60
58,-13,60
59,-13,60
60,-13,60
61,-10,-50.0
62,-9,-40.0
63,-9,-50.0
64,-11,-50.0
65,-14,60
66,-15,60
67,-15,60
68,-15,60
69,-15,60
70,-16,60
71,-16,60
72,-16,60
73,-15,60
74,-13,-50.0
75,-11,-30.0
76,-10,-40.0
77,-14,60
78,-16,60
79,-16,60
80,-15,60
81,-17,60
82,-15,60
83,-12,60
84,-12,60
85,-11,-50.0
86,-7,-20.0
87,-4,-10.0
88,-4,-20.0
89,-6,-50.0
90,-10,60
91,-12,60
92,-13,60
93,-12,60
94,-13,60
95,-9,-50.0
96,-5,-15.0
97,-1,-1.666666666666667
98,-5,-40.0
99,-6,-50.0
100,-8,-50.0
101,-12,60
102,-13,60
103,-13,60
104,-13,60
105,-12,60
106,-9,-50.0
107,-4,-10.0
108,-2,-3.333333333333333
109,-4,-23.75
110,-3,-5.0
111,-3,-5.0
112,-4,-20.0
113,-5,-31.25
114,-6,-50.0
115,-10,-50.0
116,-14,-50.0
117,-18,60
118,-18,60
119,-17,60
120,-17,60
121,-18,60
122,-17,60
123,-14,-50.0
124,-7,-20.0
125,-3,-5.0
126,-4,-20.0
127,-6,-50.0
128,-8,-50.0
129,-11,-50.0
130,-13,60
131,-13,60
132,-15,60
133,-15,60
134,-12,60
135,-9,-30.0
136,-6,-20.0
137,-3,-5.0
138,-4,-20.0
139,-3,-5.0
140,-1,-1.666666666666667
141,-1,-1.666666666666667
142,-1,-1.666666666666667
143,1,1.666666666666667
144,3,5.0
145,2,7.5
146,3,5.0
147,2,7.5
148,0,0.0
149,0,0.0
150,0,0.0
151,-1,-6.249999999999999
152,-3,-15.0
153,-5,-31.25
154,-5,-35.0
155,-3,-5.0
156,-3,-5.0
157,-2,-3.333333333333333
158,-2,-3.333333333333333
159,-2,-3.333333333333333
160,-1,-1.666666666666667
161,-1,-1.666666666666667
162,0,0.0
163,2,3.333333333333333
164,5,15.0
165,7,-60
166,8,-60
167,10,-60
168,9,-60
169,9,-60
170,7,30.0
171,5,31.25
172,6,40.0
173,9,-60
174,11,-60
175,9,-60
176,8,30.0
177,7,50.0
178,6,50.0
179,3,20.0
180,1,6.249999999999999
181,2,3.333333333333333
182,5,15.0
183,6,40.0
184,6,-60
185,3,-60
186,-2,-13.33333333333333
187,1,-60
188,2,-60
189,2,-60
190,4,-60
191,7,-60
192,9,-60
193,9,-60
194,9,-60
195,9,-60
196,9,-60
197,9,-60
198,9,-60
199,9,-60
200,9,-60
201,9,-60
202,9,-60
203,9,-60
204,8,20.0
205,7,50.0
206,8,40.0
207,8,50.0
208,7,50.0
209,7,50.0
210,11,20.0
211,11,-60
212,10,-60
213,10,-60
214,10,-60
215,10,-60
216,8,50.0
217,7,50.0
218,10,20.0
219,8,50.0
220,6,50.0
221,6,50.0
222,7,40.0
223,8,-60
224,8,-60
225,8,-60
226,9,-60
227,8,40.0
228,7,50.0
229,6,50.0
230,6,50.0
231,8,30.0
232,8,50.0
233,9,-60
234,8,-60
235,9,-60
236,9,-60
237,8,-60
238,8,50.0
239,6,50.0
240,3,20.0
241,3,5.0
242,5,23.75
243,6,40.0
244,5,31.25
245,7,30.0
246,7,-60
247,7,-60
248,5,-60
249,5,-60
250,5,31.25
251,3,15.0
252,1,6.249999999999999
253,-3,-20.0
254,-6,60
255,-8,60
256,-5,60
257,-3,60
258,-1,60
259,0,0.0
260,-1,60
261,-2,60
262,0,0.0
263,0,0.0
264,-1,-6.249999999999999
265,-1,-1.666666666666667
266,-1,-1.666666666666667
267,-1,-1.666666666666667
268,-1,-1.666666666666667
269,-2,60
270,-2,60
271,-2,60
272,-1,-1.666666666666667
273,-2,60
274,-1,-1.666666666666667
275,-1,-1.666666666666667
276,-2,60
277,-1,-1.666666666666667
278,-2,60
279,-1,-1.666666666666667
280,-1,-1.666666666666667
281,-1,-1.666666666666667
282,-1,-1.666666666666667
283,-1,-1.666666666666667
284,-1,-1.666666666666667
285,-1,-1.666666666666667
286,-1,-1.666666666666667
287,-1,-1.666666666666667
288,-1,-1.666666666666667
289,-1,-1.666666666666667
290,-1,-1.666666666666667
291,-1,-1.666666666666667
292,-1,-1.666666666666667
293,-1,-1.666666666666667
294,-1,-1.666666666666667
295,-1,-1.666666666666667
296,-1,-1.666666666666667
297,-1,-1.666666666666667
298,-1,-1.666666666666667
299,-1,-1.666666666666667
300,-1,-1.666666666666667
301,-1,-1.666666666666667
302,-1,-1.666666666666667
303,-1,-1.666666666666667
304,-1,-1.666666666666667
305,-1,-1.666666666666667
306,-1,-1.666666666666667
307,-1,-1.666666666666667
